Kanji,[Option_in_hiragana, Meaning_in_english],[Option_in_hiragana, Meaning_in_english],[Option_in_hiragana, Meaning_in_english],[Option_in_hiragana, Meaning_in_english],Correct_Index
漢,[かん, Chinese character],[か, kanji],[に, China],[むかし, ancient],1
木,[もく, tree],[き, wood],[うえ, above],[みず, water],2
山,[さん, mountain],[やま, hill],[かわ, river],[はな, flower],1
川,[せん, river],[かわ, stream],[まち, town],[もり, forest],1
田,[でん, rice field],[た, rice paddy],[はな, flower],[やま, mountain],2
日,[じつ, day],[にち, sun],[つき, moon],[ひと, person],2
月,[げつ, month],[つき, moon],[あめ, rain],[ひと, person],2
火,[か, fire],[ひ, sun],[ほし, star],[たき, waterfall],1
水,[すい, water],[みず, water],[きり, fog],[ほし, star],2
石,[せき, stone],[いし, rock],[こおり, ice],[きり, fog],1
土,[ど, soil],[つち, earth],[くさ, grass],[もり, forest],2
空,[くう, sky],[そら, sky],[ちきゅう, earth],[おおきい, big],1
雨,[う, rain],[あめ, rain],[ゆき, snow],[くも, cloud],2
花,[か, flower],[はな, flower],[みず, water],[こおり, ice],2
風,[ふう, wind],[かぜ, wind],[たいよう, sun],[つき, moon],2
星,[せい, star],[ほし, star],[くも, cloud],[かぜ, wind],1
木,[もく, tree],[き, wood],[かぜ, wind],[くも, cloud],1
花,[か, flower],[はな, flower],[たき, waterfall],[こおり, ice],2
山,[さん, mountain],[やま, hill],[はな, flower],[もり, forest],1
川,[せん, river],[かわ, stream],[たき, waterfall],[やま, mountain],2
日,[じつ, day],[にち, sun],[ひと, person],[みず, water],2
月,[げつ, month],[つき, moon],[もり, forest],[ひと, person],2
火,[か, fire],[ひ, sun],[ほし, star],[つき, moon],1
水,[すい, water],[みず, water],[ほし, star],[ひと, person],2
石,[せき, stone],[いし, rock],[きり, fog],[こおり, ice],1
土,[ど, soil],[つち, earth],[くさ, grass],[みず, water],2
空,[くう, sky],[そら, sky],[ちきゅう, earth],[くさ, grass],1
雨,[う, rain],[あめ, rain],[ゆき, snow],[くるま, car],2
花,[か, flower],[はな, flower],[つき, moon],[きり, fog],2
風,[ふう, wind],[かぜ, wind],[たいよう, sun],[やま, mountain],2
星,[せい, star],[ほし, star],[あめ, rain],[ひと, person],1
水,[すい, water],[みず, water],[かわ, river],[こおり, ice],2
石,[せき, stone],[いし, rock],[たき, waterfall],[みず, water],1
火,[か, fire],[ひ, sun],[ほし, star],[やま, mountain],1
空,[くう, sky],[そら, sky],[あめ, rain],[くさ, grass],2
風,[ふう, wind],[かぜ, wind],[たいよう, sun],[はな, flower],1
星,[せい, star],[ほし, star],[くも, cloud],[やま, mountain],1
木,[もく, tree],[き, wood],[あめ, rain],[ひと, person],2
花,[か, flower],[はな, flower],[ほし, star],[たき, waterfall],2
風,[ふう, wind],[かぜ, wind],[たいよう, sun],[こおり, ice],1
星,[せい, star],[ほし, star],[あめ, rain],[ひと, person],1
空,[くう, sky],[そら, sky],[くも, cloud],[つき, moon],1
川,[せん, river],[かわ, stream],[まち, town],[みず, water],1
火,[か, fire],[ひ, sun],[きり, fog],[こおり, ice],1
水,[すい, water],[みず, water],[あめ, rain],[ひと, person],1
石,[せき, stone],[いし, rock],[たき, waterfall],[こおり, ice],1
土,[ど, soil],[つち, earth],[くさ, grass],[もり, forest],1
風,[ふう, wind],[かぜ, wind],[たいよう, sun],[つき, moon],2
星,[せい, star],[ほし, star],[くも, cloud],[やま, mountain],2
木,[もく, tree],[き, wood],[かぜ, wind],[くも, cloud],1
花,[か, flower],[はな, flower],[たき, waterfall],[こおり, ice],1
山,[さん, mountain],[やま, hill],[はな, flower],[もり, forest],1
川,[せん, river],[かわ, stream],[たき, waterfall],[やま, mountain],2
日,[じつ, day],[にち, sun],[ひと, person],[みず, water],1
月,[げつ, month],[つき, moon],[もり, forest],[ひと, person],1
火,[か, fire],[ひ, sun],[ほし, star],[つき, moon],2
水,[すい, water],[みず, water],[ほし, star],[ひと, person],1
石,[せき, stone],[いし, rock],[きり, fog],[こおり, ice],2
土,[ど, soil],[つち, earth],[くさ, grass],[みず, water],1
空,[くう, sky],[そら, sky],[ちきゅう, earth],[くさ, grass],1
雨,[う, rain],[あめ, rain],[ゆき, snow],[くるま, car],1
花,[か, flower],[はな, flower],[つき, moon],[きり, fog],2
風,[ふう, wind],[かぜ, wind],[たいよう, sun],[やま, mountain],1
星,[せい, star],[ほし, star],[あめ, rain],[ひと, person],2
水,[すい, water],[みず, water],[かわ, river],[こおり, ice],1
石,[せき, stone],[いし, rock],[たき, waterfall],[みず, water],2
火,[か, fire],[ひ, sun],[ほし, star],[やま, mountain],1
空,[くう, sky],[そら, sky],[あめ, rain],[くさ, grass],2
風,[ふう, wind],[かぜ, wind],[たいよう, sun],[はな, flower],1
星,[せい, star],[ほし, star],[くも, cloud],[やま, mountain],1
木,[もく, tree],[き, wood],[あめ, rain],[ひと, person],1
花,[か, flower],[はな, flower],[ほし, star],[たき, waterfall],2
風,[ふう, wind],[かぜ, wind],[たいよう, sun],[こおり, ice],1
星,[せい, star],[ほし, star],[あめ, rain],[ひと, person],1
空,[くう, sky],[そら, sky],[くも, cloud],[つき, moon],2
